# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        281       1  -0.00895721    -0.431057   -0.0283342     0.407155     0.402259     0.412713
        282       1   -0.0193441    -0.441444   -0.0283342     0.404747     0.398775     0.412713
        283       1    -0.040118    -0.451831   -0.0283342      0.40204      0.39529     0.409228
        284       1   -0.0505049    -0.462218   -0.0283342     0.399091     0.391805     0.405744
        285       1   -0.0505049    -0.472605   -0.0283342     0.395549     0.391805     0.402259
        286       1   -0.0505049    -0.482992   -0.0283342     0.391627     0.384836     0.398775
        287       1   -0.0505049    -0.493379   -0.0283342     0.387773     0.381351      0.39529
        288       1    -0.040118    -0.503766   -0.0283342     0.383903     0.374382      0.39529
        289       1  -0.00895721    -0.514153   -0.0283342     0.380868     0.370897     0.391805
        290       1   0.00142971    -0.524539   -0.0283342     0.378368     0.367413     0.391805
        291       1   0.00142971    -0.534926   -0.0283342     0.376214     0.363928     0.388321
        292       1   0.00142971    -0.545313   -0.0283342     0.374215     0.363928     0.384836
        293       1   0.00142971      -0.5557   -0.0283342     0.372395     0.360443     0.384836
        294       1   0.00142971    -0.566087   -0.0283342     0.370281     0.356959     0.381351
        295       1  -0.00895721    -0.576474   -0.0283342     0.368225     0.356959     0.381351
        296       1   -0.0193441    -0.586861   -0.0283342     0.365627     0.353474     0.377867
        297       1   -0.0245376    -0.597248   -0.0283342      0.36124      0.34999     0.374382
        298       1   -0.0245376    -0.607635   -0.0283342     0.359434      0.34999     0.370897
        299       1   -0.0193441    -0.618022   -0.0283342     0.358261     0.346505     0.370897
        300       1   -0.0193441    -0.628409   -0.0283342     0.356492     0.346505     0.370897
        301       1  -0.00895721    -0.638796   -0.0283342     0.354148      0.34302     0.367413
        302       1   0.00142971    -0.649183   -0.0283342      0.35113      0.34302     0.363928
        303       1   0.00142971    -0.659569   -0.0283342     0.349103     0.339536     0.360443
        304       1   0.00142971    -0.669956   -0.0283342       0.3473     0.339536     0.356959
        305       1   0.00142971    -0.680343   -0.0283342     0.345399     0.336051     0.356959
        306       1   -0.0193441     -0.69073   -0.0283342     0.342629     0.332566     0.353474
        307       1   -0.0245376    -0.701117   -0.0283342      0.33998     0.332566      0.34999
        308       1   -0.0245376    -0.711504   -0.0283342     0.337995     0.329082     0.346505
        309       1   -0.0193441    -0.721891   -0.0283342     0.336166     0.329082     0.346505
        310       1  -0.00895721    -0.732278   -0.0283342     0.334058     0.325597     0.346505
        311       1   0.00142971    -0.742665   -0.0283342     0.331818     0.322112      0.34302
        312       1   0.00142971    -0.753052   -0.0283342     0.329923     0.322112     0.339536
        313       1  -0.00895721    -0.763439   -0.0283342      0.32808     0.318628     0.339536
        314       1   -0.0245376    -0.773826   -0.0283342     0.325874     0.315143     0.336051
        315       1   -0.0193441    -0.784213   -0.0283342     0.322084     0.311658     0.332566
        316       1  -0.00895721      -0.7946   -0.0283342     0.318985     0.308174     0.329082
        317       1  -0.00895721    -0.804986   -0.0283342     0.316324     0.304689     0.329082
        318       1  -0.00895721    -0.815373   -0.0283342     0.313991     0.301205     0.325597
        319       1   0.00142971     -0.82576   -0.0283342     0.311347      0.29772     0.325597
        320       1   0.00142971    -0.836147   -0.0283342     0.306262      0.29772     0.322112
        321       1  -0.00376375    -0.846534   -0.0283342     0.303408     0.294235     0.318628
        322       1  -0.00895721    -0.856921   -0.0283342     0.299073     0.287266     0.311658
        323       1  -0.00895721    -0.867308   -0.0283342     0.295825     0.283781     0.308174
        324       1  -0.00376375    -0.877695   -0.0283342     0.291737     0.283781     0.301205
        325       1   0.00142971    -0.888082   -0.0283342      0.28745     0.276812      0.29772
        326       1  -0.00895721    -0.898469   -0.0283342     0.283096     0.273327     0.294235
        327       1  -0.00895721    -0.908856   -0.0283342     0.278033     0.266358     0.294235
        328       1   0.00142971    -0.919243   -0.0283342       0.2724     0.259389     0.290751
        329       1  -0.00895721     -0.92963   -0.0283342     0.263017     0.248935     0.287266
        330       1  -0.00895721    -0.940016   -0.0283342     0.255466     0.241966     0.280297
        331       1   0.00142971    -0.950403   -0.0283342     0.237473     0.224542     0.259389
        332       1  -0.00895721     -0.96079   -0.0283342      0.21266      0.20015     0.231512
        333       1   0.00142971    -0.971177   -0.0283342     0.178891     0.165304     0.196665
        334       1  -0.00376375    -0.981564   -0.0283342     0.128409     0.116519     0.140911
        335       1   0.00142971    -0.991951   -0.0283342    0.0627686    0.0537949    0.0712181
