# COLLAPSE_WIDTH
# Pixel Type Legend -1:background 0:surface 1:volume_data 2:surface_data 3:particle_data 4:iso_data 99:Mixed
# 1:j-pixel  2:type      3:x-avg      4:y-avg      5:z-avg    6:average        7:min        8:max
        252       1   -0.0297311    -0.129836   -0.0283342     0.489753     0.487282     0.494622
        253       1   -0.0505049    -0.140223   -0.0283342     0.488774     0.484835     0.492175
        254       1   -0.0505049     -0.15061   -0.0283342     0.487921     0.484835     0.492175
        255       1   -0.0505049    -0.160997   -0.0283342     0.487193     0.484835     0.489728
        256       1   -0.0505049    -0.171384   -0.0283342      0.48661     0.484835     0.489728
        257       1   -0.0505049    -0.181771   -0.0283342     0.486004     0.482388     0.489728
        258       1   -0.0505049    -0.192158   -0.0283342     0.485417     0.482388     0.489728
        259       1    -0.040118    -0.202545   -0.0283342     0.484693     0.482388     0.487282
        260       1   -0.0193441    -0.212932   -0.0283342     0.484022     0.479941     0.487282
        261       1  -0.00376375    -0.223319   -0.0283342     0.483409     0.479941     0.484835
        262       1   0.00142971    -0.233706   -0.0283342     0.482857     0.479941     0.484835
        263       1   0.00142971    -0.244093   -0.0283342     0.482554     0.479941     0.484835
        264       1   0.00142971    -0.254479   -0.0283342     0.482291     0.479941     0.484835
        265       1   0.00142971    -0.264866   -0.0283342     0.482036     0.479941     0.484835
        266       1   0.00142971    -0.275253   -0.0283342     0.481797     0.479941     0.484835
        267       1   -0.0141507     -0.28564   -0.0283342     0.481561     0.479941     0.484835
        268       1   -0.0297311    -0.296027   -0.0283342     0.481122     0.477494     0.484835
        269       1   -0.0505049    -0.306414   -0.0283342     0.480564     0.477494     0.484835
        270       1   -0.0505049    -0.316801   -0.0283342     0.480058     0.477494     0.484835
        271       1   -0.0505049    -0.327188   -0.0283342     0.479621     0.475047     0.482388
        272       1   -0.0505049    -0.337575   -0.0283342     0.479148     0.475047     0.482388
        273       1   -0.0505049    -0.347962   -0.0283342     0.478582     0.475047     0.482388
        274       1    -0.040118    -0.358349   -0.0283342     0.477919     0.475047     0.482388
        275       1   -0.0297311    -0.368736   -0.0283342     0.477243       0.4726     0.479941
        276       1  -0.00895721    -0.379123   -0.0283342     0.476584       0.4726     0.479941
        277       1   0.00142971    -0.389509   -0.0283342      0.47601       0.4726     0.479941
        278       1   0.00142971    -0.399896   -0.0283342     0.475795       0.4726     0.479941
        279       1   0.00142971    -0.410283   -0.0283342     0.475816       0.4726     0.479941
        280       1   0.00142971     -0.42067   -0.0283342     0.476054       0.4726     0.479941
